File Name,Why is this track difficult to segment? (only two adjectives. Leave it blank if you found it easy)
Cerulean_Bob_Dylan-Hurricane.mp3,
Cerulean_Bob_Dylan-Like_a_Rolling_Stone_(Live).mp3,
Cerulean_Boston_Symphony_Orchestra_&_Charles_Munch-Sympho.mp3,
Cerulean_Eddie_Palmieri-Adoracion.mp3,
"Cerulean_Leonard_Bernstein,_New_York_Philharmonic_&_Rudol.mp3",
Cerulean_Miles_Davis_Quintet-Footprints.mp3,Improv
Cerulean_Prince_&_The_Revolution-Purple_Rain.mp3,
"Cerulean_Yes-Starship_Trooper/_A._Life_Seeker,_B._Disillu.mp3",
Epiphyte_0220_promiscuous.mp3,
Epiphyte_0723_hotelroomservice.mp3,
Epiphyte_0780_letmebereal.mp3,
Isophonics_01 The Show Must Go On.mp3,Theatrical
Isophonics_02 Under Pressure.mp3,
Isophonics_05 Somebody To Love.mp3,Theatrical
Isophonics_07_-_Maggie_Mae.mp3,
Isophonics_09_-_You_Never_Give_Me_Your_Money.mp3,
Isophonics_CD1_-_14_-_Don't_Pass_Me_By.mp3,
Isophonics_CD2_-_06_-_Helter_Skelter.mp3,
SALAMI_12.mp3,vocals only
SALAMI_20.mp3,embellishments
SALAMI_68.mp3,embellishments
SALAMI_78.mp3,"classical structure, embellishments"
SALAMI_108.mp3,embellishments
SALAMI_114.mp3,long
SALAMI_164.mp3,long
SALAMI_278.mp3,"instrumental, embellishments, long"
SALAMI_286.mp3,
SALAMI_302.mp3,"only one instrument, long"
SALAMI_308.mp3,
SALAMI_444.mp3,"improv, instrumental, jazz"
SALAMI_458.mp3,improv
SALAMI_478.mp3,"jazz, improv"
SALAMI_538.mp3,
SALAMI_542.mp3,
SALAMI_546.mp3,
SALAMI_584.mp3,
SALAMI_728.mp3,quick transitions and change in rhythm
SALAMI_812.mp3,quick transitions 
SALAMI_830.mp3,"only vocals, ever changing/ evolving"
SALAMI_838.mp3,"only guitar, long, embellishments "
SALAMI_876.mp3,"embellishments, peculiar rhythms/meoldies "
SALAMI_940.mp3,
SALAMI_944.mp3,
SALAMI_1072.mp3,
SALAMI_1170.mp3,
SALAMI_1198.mp3,"long, and improv"
SALAMI_1240.mp3,
SALAMI_1324.mp3,
SALAMI_1482.mp3,improv
SALAMI_1562.mp3,"imrpov, embelishments "