,D,DevA2E,DevE2A,DevtA2E,DevtE2A,HitRate_0.5F,HitRate_0.5P,HitRate_0.5R,HitRate_3F,HitRate_3P,HitRate_3R,HitRate_t0.5F,HitRate_t0.5P,HitRate_t0.5R,HitRate_t3F,HitRate_t3P,HitRate_t3R,PWF,PWP,PWR,Sf,So,Su,config_R,config_R_labels,config_h,config_rank,config_rank_labels
0,0.5580222361150902,2.2940523602807263,2.3772663759209496,3.4661225773718716,3.6271851659411736,0.2598546122756871,0.2622868533651131,0.27023773456980826,0.6001477053387326,0.608525835623073,0.6200580684149533,0.09417760290231023,0.09625485297670808,0.09890502111172497,0.5112754553060362,0.5251460750719188,0.533826338155947,0.541941619203986,0.5589542858670163,0.563466431702885,0.5656402658922295,0.5773819294968933,0.5793400596330116,10.0,4.0,11.0,2.0,5.0
1,0.5544807599903823,2.290595357899748,2.4828132195902506,3.512317666340645,3.7470024739080454,0.25306664957530733,0.2528708386469457,0.26685263516926344,0.6009934722004201,0.6052367817701844,0.6268818855041332,0.08764261283084351,0.08778093553319503,0.09379264435130352,0.5133287453196033,0.5229329953662673,0.5416883395933676,0.5319401949483376,0.5563424258772947,0.5455843609440093,0.561183646205805,0.5663891081326689,0.5804996523819351,10.0,5.0,11.0,2.0,5.0
2,0.5578258293372649,2.5321741624246927,2.3902020727454194,3.961644966712123,3.5890455137086033,0.2584842874608945,0.26255060881873493,0.2692929701473901,0.593718192739819,0.6050146250473762,0.6139513104925528,0.09272941271772676,0.09594343017669499,0.09744978795258119,0.5032097771466089,0.5206882916835741,0.5258909619244815,0.5395068532664621,0.5613210954601234,0.5652041176986241,0.5705241026290551,0.5843649885878239,0.586978157669802,10.0,6.0,11.0,2.0,5.0
3,0.5597773020589938,2.2905233418317037,2.4951846242935187,3.645648300739637,3.7213035225121254,0.2608895966485814,0.26575019768079816,0.2694384252509459,0.6003089306763101,0.612154547687575,0.6181550986348884,0.09471017360308107,0.09887805452777688,0.0972358956995828,0.5105983726487233,0.5285775132798932,0.5307298071264551,0.5324246999379266,0.5560324005820209,0.5509719112295933,0.5636216503899169,0.5728102356895647,0.5816434057259627,10.0,7.0,11.0,2.0,5.0
4,0.5581475007176058,2.3121578948374863,2.372472589221898,3.647439078185726,3.6173630395915364,0.2572896400773897,0.26194168430758247,0.26590011615069126,0.6046012722709088,0.6173707228106585,0.6209613240668121,0.08952686969373506,0.09294917632914912,0.0927291981761255,0.5158826788580525,0.5347294419860806,0.5350505949667962,0.5373161647368966,0.5584475695747871,0.5557163846406703,0.5678862193550019,0.5767395968219042,0.5831752383169556,10.0,8.0,11.0,2.0,5.0
5,0.5558333911188956,2.254007924993185,2.482766235788715,3.4121514009857266,3.7483010171160327,0.2516138290820433,0.25319391678018344,0.2633077984745748,0.598333709018719,0.6056871072862344,0.6202486211893047,0.08566226879710598,0.08715893378241626,0.09057613708451691,0.5092331552990186,0.5224049516039667,0.5334989188341143,0.5267574423944787,0.5493674900913678,0.541814605960395,0.5544310243633217,0.5598628791131091,0.5731954265606991,10.0,9.0,11.0,2.0,5.0
6,0.5585890094511934,2.4115028401620378,2.3810982283736606,3.662629272275418,3.522192560677516,0.25400098261597814,0.2582559399627044,0.261938770963582,0.5916699155892957,0.603542341095699,0.6073714378512278,0.08588341279352806,0.0892095003334758,0.08754366366098203,0.499729268093727,0.5176073114998856,0.5164437982873734,0.5318919061282247,0.5523435621234484,0.5555321998151687,0.5623163387317698,0.5745912847623507,0.577385574652856,10.0,10.0,11.0,2.0,5.0
7,0.5571967209063288,2.48089537316338,2.542266307904079,3.9556800787067323,3.7659653700972635,0.25698440608868206,0.2591077299938317,0.26832820710162136,0.5889241608935208,0.5986002757132112,0.6071310357951831,0.09017510868254097,0.09129319452342953,0.09618674311411736,0.4970592594772095,0.5124555496554649,0.5169701031432875,0.5258441815222631,0.5547848898037077,0.5445655677613415,0.5559649286937776,0.5657295037317093,0.5788564187246269,10.0,11.0,11.0,2.0,5.0
8,0.5567819947113872,2.327477764169218,2.5841266082894134,3.455681000301983,3.6752361104537425,0.26083266623455387,0.2615148894557051,0.2745963957720448,0.5944417903054483,0.5986422589618149,0.6208198221795003,0.09762107888587616,0.09914014802875154,0.10410398105928827,0.506000354660492,0.5157922697239777,0.5356754666810531,0.5297305667152651,0.5564774781793349,0.5429768093503607,0.5561678903889766,0.5610415290168316,0.5769923557772951,10.0,12.0,11.0,2.0,5.0
9,0.5583061456745336,2.4922482393862837,2.47379442241134,3.8058124704469547,3.60051320613285,0.25860554092284416,0.2627802840433586,0.26854616109052526,0.5999332377053644,0.6134836497473218,0.6166805024675548,0.09158683489732268,0.094192279083918,0.09590708794619403,0.5094228101917381,0.5297170911395439,0.5272362026551971,0.5390392159776703,0.5581627963040805,0.5614011454949093,0.5667559837170421,0.5778824663179349,0.581569763455303,10.0,13.0,11.0,2.0,5.0
10,0.5575481226499108,2.516295396903716,2.367772875436451,3.915809695645251,3.649576450722124,0.2570947576690043,0.2616447144819799,0.26620263249001347,0.603209382412158,0.6147810326641248,0.6216341692228978,0.08980145648382751,0.09298243750839119,0.09316969498533739,0.5144202784944228,0.5315205584910658,0.5354835884165493,0.541079551710601,0.5581194232789377,0.5660205194661158,0.5689165459206319,0.5828410060151625,0.5814540729538725,10.0,14.0,11.0,2.0,5.0
11,0.5593278708781537,2.461043788702737,2.4822697059085193,3.9421684106776262,3.7896488212210633,0.2511107767613967,0.2530895817912123,0.26182423712410574,0.5988983847767034,0.6096417462385816,0.6161264553352952,0.0820560154941384,0.08192523523208939,0.08809244758965425,0.5076394963905893,0.5237924374886594,0.526772358615934,0.5238183693442646,0.5729777220261093,0.5165485819558419,0.5671856770372424,0.5559873442566258,0.6034474967518909,10.0,4.0,11.0,2.0,6.0
12,0.5569951555529248,2.404188887376479,2.443772492534804,3.8239736239128503,3.659498799335112,0.25262826182910675,0.255088592552741,0.26388148994540706,0.597780373304313,0.6080362619872494,0.6180256966898441,0.0861863463053324,0.08707609590944074,0.09217861592163261,0.5081075238511056,0.5244632002704889,0.5307748582888246,0.5222532699090201,0.570825647241613,0.5182262999434362,0.564185117123926,0.5559459443486131,0.6015300404190111,10.0,5.0,11.0,2.0,6.0
13,0.5556136376233348,2.4343236180251107,2.522570098167513,3.7607258609345253,3.863928177459721,0.2509709739471281,0.25162958126419116,0.26296821947906407,0.589912500829733,0.5952248226207161,0.6130266842187644,0.08459783642176957,0.0849328246121353,0.09019354326616891,0.4987592572993271,0.5095580653541198,0.5236311484914837,0.5200698834319575,0.5754236257852445,0.5092516849855315,0.5656059626266481,0.5528427129278525,0.6058701363708704,10.0,6.0,11.0,2.0,6.0
14,0.5579643273511387,2.327546210870726,2.4619360653489664,3.5905213444112563,3.742766643893211,0.25097610162247286,0.25166465228941215,0.26217729717976185,0.5939698110306014,0.6022117815671368,0.6118921654166477,0.0837484110884636,0.08392958799046105,0.08925230573275261,0.503760651708855,0.5178957099337351,0.5235281323270148,0.526573002338219,0.5753101411331315,0.5222962872719206,0.5690681603771709,0.5585622625950645,0.6062651121060089,10.0,7.0,11.0,2.0,6.0
15,0.5585668064349265,2.482319644792849,2.406173302063128,3.760460664447178,3.5606347929830164,0.25374870016950596,0.2552515206886703,0.26532495647267257,0.5996976635475759,0.6093222208701953,0.6187360896488403,0.08592952953301763,0.0852259938811885,0.09347587545911562,0.5093519488149736,0.5242794153663701,0.5310167796201315,0.5209945543905053,0.5706739099435032,0.5174731623039096,0.5632796062634793,0.5548877979964718,0.6012205692032573,10.0,8.0,11.0,2.0,6.0
16,0.5584473706211535,2.457090530919301,2.5126404554341897,3.814455537422403,3.8276946522297237,0.25343018545490487,0.25595466805344524,0.2635441853031403,0.5899762022101815,0.6012729525587768,0.6067641230679351,0.08498063695283714,0.08623427935879098,0.09000188204098811,0.4971069047940191,0.5150508799787051,0.5147235601146216,0.5254294983310009,0.5783409496447567,0.5163526529364606,0.5715808270424101,0.558839218329685,0.6103603079914175,10.0,9.0,11.0,2.0,6.0
17,0.5560753398574142,2.39555404934123,2.5500073106849435,3.6878023581264507,3.7123171613985484,0.25412506221142417,0.25532391309461744,0.26759682333951135,0.5914965738727891,0.5985308502381769,0.6157062284485881,0.08837379106955022,0.08903204784887501,0.09566732150531028,0.5008352134050101,0.5133878976959299,0.5281859977390703,0.5192071470372059,0.5751959979439653,0.5136118119567991,0.5630315454211138,0.5530903029877633,0.6046803081099281,10.0,10.0,11.0,2.0,6.0
18,0.5597424429916257,2.600373232146676,2.4313482454293864,3.924901552134525,3.861060015062935,0.25973471793986475,0.26309288837735045,0.2683959156190508,0.5934265877922883,0.6040591226448907,0.6080300824344532,0.09267609432559469,0.09488136408851765,0.09737689374560876,0.5016398723860177,0.5172793099285307,0.5189652681272794,0.5319717411546481,0.5667814076984836,0.5409252365350005,0.5720316361234373,0.5726308448480438,0.5984597600413373,10.0,11.0,11.0,2.0,6.0
19,0.5555250514609721,2.213715245514944,2.4797624353766197,3.44993496099712,3.6112413494993856,0.24402283676193917,0.2448887391085507,0.2570039068354875,0.594302119994819,0.5991277491543926,0.6195056800832351,0.07705314000181822,0.07851220399376456,0.08300560395532458,0.504878342856818,0.5154857833133596,0.5323997386846548,0.5164203791520308,0.5664503226795782,0.510271868187,0.5629011598476916,0.5521499507959714,0.6007075126219102,10.0,12.0,11.0,2.0,6.0
20,0.5548103633486146,2.4265678436018154,2.4050732166274855,3.8464138680894986,3.5184913459518175,0.2488478417955633,0.2520100438023312,0.2587997941555286,0.5924506711526824,0.602843279863563,0.6113190033211394,0.08095082394788762,0.08339574412947968,0.0842308529459367,0.5013573476342295,0.5179670760643825,0.5211966184033225,0.5211334305762393,0.5652179556554234,0.5210508798821308,0.5636257056179527,0.5586894691617438,0.5955722120641499,10.0,13.0,11.0,2.0,6.0
21,0.5601040968544376,2.791550806040614,2.57159857832525,4.3495371465569,3.941307548103967,0.2553108281433036,0.25989595267094956,0.2647164721392457,0.581337819125585,0.5944264666910483,0.597928196424746,0.08699730874150603,0.08957377653461282,0.0912543539638511,0.48600704235754605,0.5050437259689597,0.5030520534710482,0.5213680363779002,0.5633620360169074,0.5218998774755934,0.5650529713491417,0.5613871322106729,0.5977415380608879,10.0,14.0,11.0,2.0,6.0
22,0.5593231125834633,2.503789180350839,2.492366236350083,3.867811229603634,3.851240899762961,0.25815850053833894,0.2615082334803121,0.2672071424577175,0.5912783845162614,0.6031028947617361,0.6051114306331199,0.09127272881851667,0.09430279591170472,0.0944104932931748,0.4991775282593977,0.5172623187927006,0.5131195309966259,0.5186244630149759,0.5774096500460076,0.506683705824712,0.5699394650397306,0.5541603539043982,0.6131466219680838,10.0,4.0,11.0,2.0,7.0
23,0.5588375374966155,2.519740944753603,2.4182759095742172,3.876762653156229,3.703515342547263,0.2566953511587637,0.25893050253263633,0.2673985346635691,0.5961220028193417,0.6061986177000677,0.6133408563904784,0.08937648023744924,0.0907323586248037,0.09444808760451215,0.5052451479419886,0.5219696091124479,0.5222952094460476,0.5051753296528199,0.5810196349635395,0.49032101075066287,0.5654395148417638,0.5476760127122909,0.6197849554423952,10.0,5.0,11.0,2.0,7.0
24,0.5557451212280511,2.433601644875001,2.4265292514889096,3.655302630267347,3.634134490708798,0.25101117992566435,0.2526287607287084,0.262840156247156,0.6046452969199326,0.612108325540607,0.6266785274097137,0.08394470015630086,0.08559738951824057,0.08913640673417203,0.5169295620267349,0.5303590553860145,0.5410720564351852,0.5154979234007365,0.5907386998929411,0.4897267114952119,0.5705076286343942,0.5460682751318487,0.6248545502074041,10.0,6.0,11.0,2.0,7.0
25,0.557148753720668,2.521333392689582,2.4954498248137154,3.811299166998966,3.658790539207993,0.2559342282229497,0.2598702082634355,0.2662601634134661,0.5921952934913283,0.6057175060920261,0.6094135685944758,0.08807004132627234,0.08998549888174642,0.09385524469323346,0.5004562811143602,0.5204905006868964,0.5187923187923189,0.518369613177467,0.5888419721226059,0.4954739232186498,0.5708561225948111,0.5472695458579848,0.6223903633431438,10.0,7.0,11.0,2.0,7.0
26,0.5594776577373638,2.5434642833356422,2.4191263776988268,3.798087902622457,3.652709331369359,0.25754711714881784,0.2611019175903149,0.26624486305311157,0.5958613551556707,0.6053806368475364,0.6130320171849916,0.0899117673844157,0.0924498534723468,0.09338936978601778,0.5050623862966602,0.51875578452753,0.5255750456867777,0.5080863044727393,0.581726817184709,0.48402907971606035,0.5668585937733738,0.5425585065360706,0.6217033942533746,10.0,8.0,11.0,2.0,7.0
27,0.5598867383744301,2.4254447186431283,2.3633116698808645,3.883129598683016,3.6617854760786614,0.25824110502046904,0.2613476095275491,0.26688019825137793,0.5992642311027304,0.6095835171959727,0.6148092591856966,0.09026435856333409,0.09256131881159982,0.09371181270622607,0.5086003845711284,0.5243191461312864,0.5268123248570176,0.5195471273171335,0.5863880900768671,0.49926694004943445,0.5756618758170976,0.554858236066181,0.6221546950174072,10.0,9.0,11.0,2.0,7.0
28,0.5558146175475277,2.612217776127513,2.46406598148972,3.9977025656238534,3.70142264862299,0.25297285286844,0.2567707370749241,0.26327884925896755,0.5912395423912877,0.6039831140460576,0.6096904177540065,0.08455503986093373,0.08610924559671389,0.0896503713542819,0.4997403971437689,0.5182250193305128,0.5211329948760115,0.505464955192394,0.567427832667521,0.4939653771023688,0.5603415574975117,0.5455249958769902,0.6059838242997635,10.0,10.0,11.0,2.0,7.0
